Price,Mileage(miles),Registration_Year,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class
6900,70189,9,Diesel,Hatchback,1.4,Manual,5.0,5.0,Euro 6
1495,88585,17,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4
949,137000,14,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5
2395,96731,15,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 4
1000,85000,12,Diesel,Hatchback,1.3,Manual,5.0,5.0,Euro 5
800,124196,18,Petrol,Coupe,2.0,Manual,3.0,4.0,Euro 4
798,140599,17,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4
1995,90000,16,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4
1299,87000,17,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4
1495,181693,16,Diesel,Hatchback,1.6,Manual,3.0,5.0,Euro 4
2950,79000,14,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5
6900,70189,9,Diesel,Hatchback,1.4,Manual,5.0,5.0,Euro 6
19800,69690,6,Petrol Plug-in Hybrid,Saloon,2.0,Automatic,4.0,5.0,Euro 6
1100,164985,17,Petrol,Hatchback,1.0,Manual,3.0,4.0,Euro 4
1295,109000,18,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4
999,111400,18,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4
1289,135000,15,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4
1200,134000,21,Petrol,Hatchback,1.8,Automatic,5.0,5.0,Euro 4
1949,114000,12,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5
1195,101000,15,Diesel,Hatchback,1.8,Manual,5.0,5.0,Euro 4
14498,53055,6,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 6
1995,89000,18,Petrol,Coupe,3.0,Automatic,2.0,4.0,Euro 4
990,69000,22,Petrol,Hatchback,1.3,Manual,3.0,4.0,Euro 3
2950,79000,14,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5
15900,62402,6,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6
8975,86500,8,Diesel,Hatchback,1.5,Manual,5.0,5.0,Euro 6
